Time Serie,,,EU/US,change %,c change %,,,UK/US,change %,c change %,,,INDIA/US,change %,c change %,,,SRLNK/US,change %,c change %
1/3/00,,,0.9847,,,,,0.6146,,,,,43.55,,,,,72.3,,
1/4/00,,,0.97,-1.49%,-1.493%,,,0.6109,-0.60%,-0.602%,,,43.55,0.000%,0.000%,,,72.65,0.48%,0.484%
1/5/00,,,0.9676,-0.25%,-1.740%,,,0.6092,-0.28%,-0.880%,,,43.55,0.000%,0.000%,,,72.95,0.41%,0.897%
1/6/00,,,0.9686,0.10%,-1.637%,,,0.607,-0.36%,-1.241%,,,43.55,0.000%,0.000%,,,72.95,0.00%,0.897%
1/7/00,,,0.9714,0.29%,-1.348%,,,0.6104,0.56%,-0.681%,,,43.55,0.000%,0.000%,,,73.15,0.27%,1.171%
1/10/00,,,0.9754,0.41%,-0.936%,,,0.6107,0.05%,-0.632%,,,43.55,0.000%,0.000%,,,73.3,0.21%,1.376%
1/11/00,,,0.9688,-0.68%,-1.613%,,,0.6068,-0.64%,-1.271%,,,43.6,0.115%,0.115%,,,73.35,0.07%,1.444%
1/12/00,,,0.9727,0.40%,-1.210%,,,0.6073,0.08%,-1.188%,,,43.6,0.000%,0.115%,,,73.35,0.00%,1.444%
1/13/00,,,0.9737,0.10%,-1.107%,,,0.6067,-0.10%,-1.287%,,,43.55,-0.115%,0.000%,,,73.35,0.00%,1.444%
1/14/00,,,0.9874,1.41%,0.300%,,,0.6115,0.79%,-0.496%,,,43.55,0.000%,0.000%,,,73.35,0.00%,1.444%
1/18/00,,,0.988,0.06%,0.360%,,,0.6105,-0.16%,-0.660%,,,43.6,0.115%,0.115%,,,72.85,-0.68%,0.763%
1/19/00,,,0.9886,0.06%,0.421%,,,0.6083,-0.36%,-1.020%,,,43.6,0.000%,0.115%,,,73.2,0.48%,1.243%
1/20/00,,,0.9869,-0.17%,0.249%,,,0.6047,-0.59%,-1.612%,,,43.6,0.000%,0.115%,,,72.95,-0.34%,0.902%
1/21/00,,,0.9901,0.32%,0.573%,,,0.6059,0.20%,-1.413%,,,43.6,0.000%,0.115%,,,73.3,0.48%,1.381%
1/24/00,,,0.9981,0.81%,1.381%,,,0.6053,-0.10%,-1.512%,,,43.62,0.046%,0.161%,,,72.95,-0.48%,0.904%
1/25/00,,,0.9959,-0.22%,1.161%,,,0.6067,0.23%,-1.281%,,,43.59,-0.069%,0.092%,,,73.45,0.69%,1.589%
1/26/00,,,0.9989,0.30%,1.462%,,,0.6099,0.53%,-0.754%,,,43.65,0.138%,0.230%,,,73.4,-0.07%,1.521%
1/27/00,,,1.0111,1.22%,2.684%,,,0.6111,0.20%,-0.557%,,,43.63,-0.046%,0.184%,,,73.45,0.07%,1.589%
1/28/00,,,1.0241,1.29%,3.969%,,,0.6169,0.95%,0.392%,,,43.65,0.046%,0.230%,,,73.05,-0.54%,1.045%
1/31/00,,,1.0249,0.08%,4.047%,,,0.618,0.18%,0.571%,,,43.65,0.000%,0.230%,,,73.5,0.62%,1.661%
2/1/00,,,1.0276,0.26%,4.311%,,,0.6192,0.19%,0.765%,,,43.62,-0.069%,0.161%,,,73.55,0.07%,1.729%
2/2/00,,,1.0238,-0.37%,3.941%,,,0.6227,0.57%,1.330%,,,43.65,0.069%,0.230%,,,73.25,-0.41%,1.321%
2/3/00,,,1.0114,-1.21%,2.730%,,,0.624,0.21%,1.539%,,,43.65,0.000%,0.230%,,,73.55,0.41%,1.731%
2/4/00,,,1.0246,1.31%,4.035%,,,0.6283,0.69%,2.228%,,,43.65,0.000%,0.230%,,,73.55,0.00%,1.731%
2/7/00,,,1.0222,-0.23%,3.801%,,,0.6283,0.00%,2.228%,,,43.64,-0.023%,0.207%,,,73.5,-0.07%,1.663%
2/8/00,,,1.014,-0.80%,2.999%,,,0.6209,-1.18%,1.050%,,,43.63,-0.023%,0.184%,,,73.6,0.14%,1.799%
2/9/00,,,1.0087,-0.52%,2.476%,,,0.6205,-0.06%,0.986%,,,43.65,0.046%,0.230%,,,73.6,0.00%,1.799%
2/10/00,,,1.0137,0.50%,2.972%,,,0.6228,0.37%,1.356%,,,43.58,-0.160%,0.069%,,,72.82,-1.06%,0.739%
2/11/00,,,1.0155,0.18%,3.149%,,,0.628,0.83%,2.191%,,,43.65,0.161%,0.230%,,,73.6,1.07%,1.810%
2/14/00,,,1.0222,0.66%,3.809%,,,0.6293,0.21%,2.398%,,,43.65,0.000%,0.230%,,,73.65,0.07%,1.878%
2/15/00,,,1.0169,-0.52%,3.290%,,,0.627,-0.37%,2.033%,,,43.64,-0.023%,0.207%,,,73.75,0.14%,2.014%
2/16/00,,,1.0161,-0.08%,3.212%,,,0.6234,-0.57%,1.459%,,,43.75,0.252%,0.459%,,,73.41,-0.46%,1.553%
2/17/00,,,1.0139,-0.22%,2.995%,,,0.6231,-0.05%,1.411%,,,43.68,-0.160%,0.299%,,,73.65,0.33%,1.880%
2/18/00,,,1.0152,0.13%,3.124%,,,0.6256,0.40%,1.812%,,,43.68,0.000%,0.299%,,,73.36,-0.39%,1.486%
2/22/00,,,0.994,-2.09%,1.035%,,,0.6186,-1.12%,0.693%,,,43.65,-0.069%,0.230%,,,73.6,0.33%,1.813%
2/23/00,,,0.9983,0.43%,1.468%,,,0.6232,0.74%,1.436%,,,43.68,0.069%,0.299%,,,73.6,0.00%,1.813%
2/24/00,,,1.0069,0.86%,2.329%,,,0.6257,0.40%,1.838%,,,43.65,-0.069%,0.231%,,,73.75,0.20%,2.017%
2/25/00,,,1.0243,1.73%,4.057%,,,0.6286,0.46%,2.301%,,,43.65,0.000%,0.231%,,,73.75,0.00%,2.017%
2/28/00,,,1.0342,0.97%,5.024%,,,0.6275,-0.17%,2.126%,,,43.68,0.069%,0.299%,,,73.75,0.00%,2.017%
2/29/00,,,1.037,0.27%,5.295%,,,0.6337,0.99%,3.114%,,,43.65,-0.069%,0.231%,,,73.75,0.00%,2.017%
3/1/00,,,1.0309,-0.59%,4.706%,,,0.631,-0.43%,2.688%,,,43.63,-0.046%,0.185%,,,73.75,0.00%,2.017%
3/2/00,,,1.0396,0.84%,5.550%,,,0.6343,0.52%,3.211%,,,43.65,0.046%,0.231%,,,73.9,0.20%,2.220%
3/3/00,,,1.0397,0.01%,5.560%,,,0.6325,-0.28%,2.927%,,,43.65,0.000%,0.231%,,,73.9,0.00%,2.220%
3/6/00,,,1.0413,0.15%,5.714%,,,0.6356,0.49%,3.417%,,,43.63,-0.046%,0.185%,,,74,0.14%,2.356%
3/7/00,,,1.046,0.45%,6.165%,,,0.634,-0.25%,3.166%,,,43.63,0.000%,0.185%,,,73.9,-0.14%,2.220%
3/8/00,,,1.0443,-0.16%,6.003%,,,0.6307,-0.52%,2.645%,,,43.65,0.046%,0.231%,,,73.65,-0.34%,1.882%
3/9/00,,,1.0326,-1.12%,4.882%,,,0.6323,0.25%,2.899%,,,43.63,-0.046%,0.185%,,,73.65,0.00%,1.882%
3/10/00,,,1.0353,0.26%,5.144%,,,0.6332,0.14%,3.041%,,,43.65,0.046%,0.231%,,,73.8,0.20%,2.086%
3/13/00,,,1.0365,0.12%,5.260%,,,0.6336,0.06%,3.104%,,,43.65,0.000%,0.231%,,,74.05,0.34%,2.425%
3/14/00,,,1.0369,0.04%,5.298%,,,0.6359,0.36%,3.467%,,,43.64,-0.023%,0.208%,,,73.62,-0.58%,1.844%
3/15/00,,,1.0314,-0.53%,4.768%,,,0.6357,-0.03%,3.436%,,,43.65,0.023%,0.231%,,,73.62,0.00%,1.844%
3/16/00,,,1.0299,-0.15%,4.622%,,,0.635,-0.11%,3.326%,,,43.58,-0.160%,0.070%,,,73.64,0.03%,1.871%
3/17/00,,,1.0316,0.17%,4.787%,,,0.6367,0.27%,3.594%,,,43.65,0.161%,0.231%,,,74,0.49%,2.360%
3/20/00,,,1.0299,-0.16%,4.623%,,,0.6375,0.13%,3.719%,,,43.63,-0.046%,0.185%,,,73.9,-0.14%,2.225%
3/21/00,,,1.0306,0.07%,4.691%,,,0.6359,-0.25%,3.468%,,,43.59,-0.092%,0.093%,,,73.75,-0.20%,2.022%
3/22/00,,,1.0408,0.99%,5.680%,,,0.6367,0.13%,3.594%,,,43.65,0.138%,0.231%,,,73.7,-0.07%,1.954%
3/23/00,,,1.0319,-0.86%,4.825%,,,0.6317,-0.79%,2.809%,,,43.65,0.000%,0.231%,,,73.75,0.07%,2.022%
3/24/00,,,1.0284,-0.34%,4.486%,,,0.6285,-0.51%,2.302%,,,43.65,0.000%,0.231%,,,73.74,-0.01%,2.008%
3/27/00,,,1.0368,0.82%,5.303%,,,0.6307,0.35%,2.652%,,,43.62,-0.069%,0.162%,,,73.85,0.15%,2.157%
3/28/00,,,1.0401,0.32%,5.621%,,,0.63,-0.11%,2.541%,,,43.65,0.069%,0.231%,,,73.85,0.00%,2.157%
3/29/00,,,1.05,0.95%,6.573%,,,0.6301,0.02%,2.557%,,,43.65,0.000%,0.231%,,,73.9,0.07%,2.225%
3/30/00,,,1.0423,-0.73%,5.840%,,,0.6281,-0.32%,2.240%,,,43.65,0.000%,0.231%,,,73.85,-0.07%,2.157%
3/31/00,,,1.0445,0.21%,6.051%,,,0.6281,0.00%,2.240%,,,43.65,0.000%,0.231%,,,73.85,0.00%,2.157%
4/3/00,,,1.046,0.14%,6.194%,,,0.6258,-0.37%,1.873%,,,43.632,-0.041%,0.190%,,,73.85,0.00%,2.157%
4/4/00,,,1.043,-0.29%,5.908%,,,0.6264,0.10%,1.969%,,,43.65,0.041%,0.231%,,,74.18,0.45%,2.604%
4/5/00,,,1.0366,-0.61%,5.294%,,,0.6289,0.40%,2.368%,,,43.68,0.069%,0.300%,,,74.15,-0.04%,2.564%
4/6/00,,,1.0438,0.69%,5.989%,,,0.6329,0.64%,3.004%,,,43.65,-0.069%,0.231%,,,74.18,0.04%,2.604%
4/7/00,,,1.0428,-0.10%,5.893%,,,0.6317,-0.19%,2.815%,,,43.67,0.046%,0.277%,,,74.15,-0.04%,2.564%
4/10/00,,,1.043,0.02%,5.912%,,,0.6318,0.02%,2.831%,,,43.66,-0.023%,0.254%,,,74.05,-0.13%,2.429%
4/11/00,,,1.0426,-0.04%,5.874%,,,0.63,-0.28%,2.546%,,,43.68,0.046%,0.300%,,,74.1,0.07%,2.497%
4/12/00,,,1.047,0.42%,6.296%,,,0.6296,-0.06%,2.482%,,,43.7,0.046%,0.346%,,,74.05,-0.07%,2.429%
4/13/00,,,1.05,0.29%,6.582%,,,0.6297,0.02%,2.498%,,,43.7,0.000%,0.346%,,,74.05,0.00%,2.429%
4/14/00,,,1.0456,-0.42%,6.163%,,,0.6305,0.13%,2.625%,,,43.75,0.114%,0.460%,,,74.04,-0.01%,2.416%
4/17/00,,,1.0471,0.14%,6.306%,,,0.6308,0.05%,2.673%,,,43.68,-0.160%,0.300%,,,73.8,-0.32%,2.091%
4/18/00,,,1.0552,0.77%,7.080%,,,0.6344,0.57%,3.244%,,,43.7,0.046%,0.346%,,,74.25,0.61%,2.701%
4/19/00,,,1.0673,1.15%,8.227%,,,0.6338,-0.09%,3.149%,,,43.7,0.000%,0.346%,,,74.25,0.00%,2.701%
4/20/00,,,1.0666,-0.07%,8.161%,,,0.6329,-0.14%,3.007%,,,43.687,-0.030%,0.316%,,,73.85,-0.54%,2.162%
4/21/00,,,1.0662,-0.04%,8.124%,,,0.6335,0.09%,3.102%,,,43.7,0.030%,0.346%,,,74,0.20%,2.366%
4/24/00,,,1.0643,-0.18%,7.945%,,,0.6329,-0.09%,3.007%,,,43.655,-0.103%,0.243%,,,74.2,0.27%,2.636%
4/25/00,,,1.0793,1.41%,9.355%,,,0.6334,0.08%,3.086%,,,43.7,0.103%,0.346%,,,74.2,0.00%,2.636%
4/26/00,,,1.085,0.53%,9.883%,,,0.6331,-0.05%,3.039%,,,43.7,0.000%,0.346%,,,74.2,0.00%,2.636%
4/27/00,,,1.101,1.47%,11.358%,,,0.635,0.30%,3.339%,,,43.7,0.000%,0.346%,,,74.35,0.20%,2.838%
4/28/00,,,1.1002,-0.07%,11.285%,,,0.6427,1.21%,4.551%,,,43.7,0.000%,0.346%,,,74.55,0.27%,3.107%
5/1/00,,,1.0965,-0.34%,10.949%,,,0.6428,0.02%,4.567%,,,43.67,-0.069%,0.277%,,,74.4,-0.20%,2.906%
5/2/00,,,1.1028,0.57%,11.523%,,,0.6414,-0.22%,4.349%,,,43.75,0.183%,0.461%,,,74.55,0.20%,3.107%
5/3/00,,,1.1247,1.99%,13.509%,,,0.6408,-0.09%,4.256%,,,43.73,-0.046%,0.415%,,,74.05,-0.67%,2.437%
5/4/00,,,1.1227,-0.18%,13.331%,,,0.6479,1.11%,5.364%,,,43.67,-0.137%,0.278%,,,74.7,0.88%,3.314%
5/5/00,,,1.1169,-0.52%,12.815%,,,0.6541,0.96%,6.321%,,,43.7,0.069%,0.346%,,,74.7,0.00%,3.314%
5/8/00,,,1.1173,0.04%,12.850%,,,0.6532,-0.14%,6.183%,,,43.7,0.000%,0.346%,,,74.4,-0.40%,2.913%
5/9/00,,,1.1083,-0.81%,12.045%,,,0.653,-0.03%,6.152%,,,43.7,0.000%,0.346%,,,74.5,0.13%,3.047%
5/10/00,,,1.0993,-0.81%,11.233%,,,0.6599,1.06%,7.209%,,,44.3,1.373%,1.719%,,,74.8,0.40%,3.450%
5/11/00,,,1.1085,0.84%,12.070%,,,0.6668,1.05%,8.255%,,,44.44,0.316%,2.035%,,,74.55,-0.33%,3.116%
5/12/00,,,1.1013,-0.65%,11.420%,,,0.6591,-1.15%,7.100%,,,44.15,-0.653%,1.383%,,,74.6,0.07%,3.183%
5/15/00,,,1.0943,-0.64%,10.785%,,,0.6633,0.64%,7.737%,,,44.44,0.657%,2.040%,,,75.1,0.67%,3.853%
5/16/00,,,1.1046,0.94%,11.726%,,,0.6663,0.45%,8.189%,,,44.05,-0.878%,1.162%,,,75.15,0.07%,3.920%
5/17/00,,,1.121,1.48%,13.211%,,,0.6709,0.69%,8.880%,,,44.02,-0.068%,1.094%,,,75.1,-0.07%,3.853%
5/18/00,,,1.1171,-0.35%,12.863%,,,0.6749,0.60%,9.476%,,,44.03,0.023%,1.117%,,,75.15,0.07%,3.920%
5/19/00,,,1.1178,0.06%,12.925%,,,0.6732,-0.25%,9.224%,,,44,-0.068%,1.049%,,,75.15,0.00%,3.920%
5/22/00,,,1.1067,-0.99%,11.932%,,,0.6708,-0.36%,8.868%,,,44.02,0.045%,1.094%,,,75.05,-0.13%,3.787%
5/23/00,,,1.1072,0.05%,11.977%,,,0.679,1.22%,10.090%,,,44.15,0.295%,1.389%,,,75.1,0.07%,3.853%
5/24/00,,,1.0994,-0.70%,11.273%,,,0.6777,-0.19%,9.898%,,,44.25,0.227%,1.616%,,,75.1,0.00%,3.853%
5/25/00,,,1.1023,0.26%,11.537%,,,0.68,0.34%,10.238%,,,44.2,-0.113%,1.503%,,,75.5,0.53%,4.386%
5/26/00,,,1.0741,-2.56%,8.979%,,,0.6723,-1.13%,9.106%,,,44.4,0.452%,1.955%,,,75.25,-0.33%,4.055%
5/30/00,,,1.0737,-0.04%,8.941%,,,0.6689,-0.51%,8.600%,,,44.65,0.563%,2.518%,,,75.4,0.20%,4.254%
5/31/00,,,1.072,-0.16%,8.783%,,,0.6681,-0.12%,8.480%,,,44.65,0.000%,2.518%,,,74.77,-0.84%,3.419%
6/1/00,,,1.0745,0.23%,9.016%,,,0.6705,0.36%,8.839%,,,44.65,0.000%,2.518%,,,75.3,0.71%,4.127%
6/2/00,,,1.0602,-1.33%,7.685%,,,0.6632,-1.09%,7.751%,,,44.7,0.112%,2.630%,,,75.2,-0.13%,3.995%
6/5/00,,,1.0559,-0.41%,7.280%,,,0.6607,-0.38%,7.374%,,,44.75,0.112%,2.742%,,,75.35,0.20%,4.194%
6/6/00,,,1.0449,-1.04%,6.238%,,,0.6564,-0.65%,6.723%,,,44.75,0.000%,2.742%,,,75.25,-0.13%,4.061%
6/7/00,,,1.0417,-0.31%,5.932%,,,0.6568,0.06%,6.784%,,,44.83,0.179%,2.921%,,,75.25,0.00%,4.061%
6/8/00,,,1.0473,0.54%,6.469%,,,0.664,1.10%,7.880%,,,44.85,0.045%,2.966%,,,75.4,0.20%,4.261%
6/9/00,,,1.0498,0.24%,6.708%,,,0.6632,-0.12%,7.760%,,,44.85,0.000%,2.966%,,,75.25,-0.20%,4.062%
6/12/00,,,1.0478,-0.19%,6.517%,,,0.6614,-0.27%,7.488%,,,44.85,0.000%,2.966%,,,75.25,0.00%,4.062%
6/13/00,,,1.0396,-0.78%,5.735%,,,0.6609,-0.08%,7.413%,,,44.8,-0.111%,2.854%,,,75.25,0.00%,4.062%
6/14/00,,,1.0428,0.31%,6.043%,,,0.6656,0.71%,8.124%,,,44.72,-0.179%,2.676%,,,75.16,-0.12%,3.942%
6/15/00,,,1.0493,0.62%,6.666%,,,0.6621,-0.53%,7.598%,,,44.8,0.179%,2.854%,,,75.2,0.05%,3.995%
6/16/00,,,1.0365,-1.22%,5.446%,,,0.6594,-0.41%,7.190%,,,44.83,0.067%,2.921%,,,75.2,0.00%,3.995%
6/19/00,,,1.0393,0.27%,5.716%,,,0.6599,0.08%,7.266%,,,44.85,0.045%,2.966%,,,75.15,-0.07%,3.929%
6/20/00,,,1.0464,0.68%,6.399%,,,0.6623,0.36%,7.630%,,,44.75,-0.223%,2.743%,,,78.25,4.13%,8.054%
6/21/00,,,1.0576,1.07%,7.470%,,,0.668,0.86%,8.490%,,,44.7,-0.112%,2.631%,,,78.7,0.58%,8.629%
6/22/00,,,1.0641,0.61%,8.084%,,,0.6618,-0.93%,7.562%,,,44.7,0.000%,2.631%,,,78.83,0.17%,8.794%
6/23/00,,,1.0686,0.42%,8.507%,,,0.6662,0.66%,8.227%,,,44.75,0.112%,2.743%,,,78.9,0.09%,8.883%
6/26/00,,,1.0659,-0.25%,8.255%,,,0.6671,0.14%,8.362%,,,44.75,0.000%,2.743%,,,78.9,0.00%,8.883%
6/27/00,,,1.0589,-0.66%,7.598%,,,0.6667,-0.06%,8.302%,,,44.7,-0.112%,2.631%,,,79,0.13%,9.010%
6/28/00,,,1.0589,0.00%,7.598%,,,0.6619,-0.72%,7.582%,,,44.72,0.045%,2.676%,,,79,0.00%,9.010%
6/29/00,,,1.051,-0.75%,6.852%,,,0.6582,-0.56%,7.023%,,,44.73,0.022%,2.699%,,,79.2,0.25%,9.263%
6/30/00,,,1.0477,-0.31%,6.538%,,,0.6609,0.41%,7.433%,,,44.7,-0.067%,2.631%,,,79.2,0.00%,9.263%
7/3/00,,,1.0498,0.20%,6.738%,,,0.6607,-0.03%,7.403%,,,44.72,0.045%,2.676%,,,79.25,0.06%,9.326%
7/5/00,,,1.0473,-0.24%,6.500%,,,0.6614,0.11%,7.509%,,,44.69,-0.067%,2.609%,,,79.35,0.13%,9.452%
7/6/00,,,1.0496,0.22%,6.720%,,,0.6614,0.00%,7.509%,,,44.81,0.269%,2.878%,,,79.35,0.00%,9.452%
7/7/00,,,1.0544,0.46%,7.177%,,,0.6604,-0.15%,7.358%,,,44.78,-0.067%,2.811%,,,79.35,0.00%,9.452%
7/10/00,,,1.0503,-0.39%,6.788%,,,0.6606,0.03%,7.388%,,,44.75,-0.067%,2.744%,,,79.35,0.00%,9.452%
7/11/00,,,1.053,0.26%,7.045%,,,0.6605,-0.02%,7.373%,,,44.75,0.000%,2.744%,,,79.25,-0.13%,9.326%
7/12/00,,,1.0637,1.02%,8.061%,,,0.6637,0.48%,7.857%,,,44.75,0.000%,2.744%,,,79.3,0.06%,9.389%
7/13/00,,,1.0708,0.67%,8.729%,,,0.6671,0.51%,8.370%,,,44.78,0.067%,2.811%,,,79.3,0.00%,9.389%
7/14/00,,,1.0668,-0.37%,8.355%,,,0.6671,0.00%,8.370%,,,44.78,0.000%,2.811%,,,79.3,0.00%,9.389%
7/17/00,,,1.0694,0.24%,8.599%,,,0.6702,0.46%,8.834%,,,44.74,-0.089%,2.721%,,,78.75,-0.69%,8.696%
7/18/00,,,1.0727,0.31%,8.908%,,,0.6691,-0.16%,8.670%,,,44.83,0.201%,2.923%,,,78.58,-0.22%,8.480%
7/19/00,,,1.0826,0.92%,9.831%,,,0.6693,0.03%,8.700%,,,44.85,0.045%,2.967%,,,78.5,-0.10%,8.378%
7/20/00,,,1.0762,-0.59%,9.239%,,,0.6625,-1.02%,7.684%,,,45.02,0.379%,3.346%,,,78.52,0.03%,8.404%
7/21/00,,,1.0703,-0.55%,8.691%,,,0.6593,-0.48%,7.201%,,,44.8,-0.489%,2.858%,,,78.25,-0.34%,8.060%
7/24/00,,,1.0737,0.32%,9.009%,,,0.6605,0.18%,7.383%,,,44.77,-0.067%,2.791%,,,78.44,0.24%,8.302%
7/25/00,,,1.0648,-0.83%,8.180%,,,0.6583,-0.33%,7.050%,,,44.95,0.402%,3.193%,,,78.59,0.19%,8.494%
7/26/00,,,1.0624,-0.23%,7.955%,,,0.6599,0.24%,7.293%,,,44.98,0.067%,3.259%,,,78.4,-0.24%,8.252%
7/27/00,,,1.0717,0.88%,8.830%,,,0.6616,0.26%,7.551%,,,44.95,-0.067%,3.193%,,,78.4,0.00%,8.252%
7/28/00,,,1.0815,0.91%,9.744%,,,0.6656,0.60%,8.155%,,,44.96,0.022%,3.215%,,,78.4,0.00%,8.252%
7/31/00,,,1.0792,-0.21%,9.532%,,,0.6674,0.27%,8.426%,,,45.15,0.423%,3.638%,,,78.4,0.00%,8.252%
8/1/00,,,1.0837,0.42%,9.949%,,,0.667,-0.06%,8.366%,,,45.15,0.000%,3.638%,,,78.45,0.06%,8.316%
8/2/00,,,1.0945,1.00%,10.945%,,,0.67,0.45%,8.816%,,,45.4,0.554%,4.191%,,,78.43,-0.03%,8.290%
8/3/00,,,1.106,1.05%,11.996%,,,0.669,-0.15%,8.666%,,,45.4,0.000%,4.191%,,,78.46,0.04%,8.328%
8/4/00,,,1.1019,-0.37%,11.625%,,,0.6657,-0.49%,8.173%,,,45.4,0.000%,4.191%,,,78.46,0.00%,8.328%
8/7/00,,,1.0983,-0.33%,11.299%,,,0.6636,-0.32%,7.858%,,,45.62,0.485%,4.676%,,,78.46,0.00%,8.328%
8/8/00,,,1.1088,0.96%,12.255%,,,0.6657,0.32%,8.174%,,,45.8,0.395%,5.070%,,,78.53,0.09%,8.418%
8/9/00,,,1.1122,0.31%,12.561%,,,0.667,0.20%,8.369%,,,45.7,-0.218%,4.852%,,,78.4,-0.17%,8.252%
8/10/00,,,1.1017,-0.94%,11.617%,,,0.6676,0.09%,8.459%,,,45.9,0.438%,5.290%,,,78.4,0.00%,8.252%
8/11/00,,,1.1055,0.34%,11.962%,,,0.6649,-0.40%,8.055%,,,45.9,0.000%,5.290%,,,78.4,0.00%,8.252%
8/14/00,,,1.1066,0.10%,12.062%,,,0.664,-0.14%,7.920%,,,45.85,-0.109%,5.181%,,,78.4,0.00%,8.252%
8/15/00,,,1.0947,-1.08%,10.986%,,,0.6642,0.03%,7.950%,,,45.8,-0.109%,5.072%,,,78.45,0.06%,8.316%
8/16/00,,,1.0937,-0.09%,10.895%,,,0.6672,0.45%,8.401%,,,45.8,0.000%,5.072%,,,78.35,-0.13%,8.188%
8/17/00,,,1.0927,-0.09%,10.803%,,,0.667,-0.03%,8.371%,,,45.95,0.328%,5.399%,,,78.34,-0.01%,8.176%
8/18/00,,,1.1028,0.92%,11.728%,,,0.6714,0.66%,9.031%,,,45.9,-0.109%,5.290%,,,78.2,-0.18%,7.997%
8/21/00,,,1.1078,0.45%,12.181%,,,0.6711,-0.04%,8.986%,,,45.73,-0.370%,4.920%,,,78.3,0.13%,8.125%
8/22/00,,,1.1154,0.69%,12.867%,,,0.6758,0.70%,9.687%,,,45.75,0.044%,4.964%,,,78.28,-0.03%,8.099%
8/23/00,,,1.1152,-0.02%,12.849%,,,0.6751,-0.10%,9.583%,,,45.9,0.328%,5.292%,,,78.06,-0.28%,7.818%
8/24/00,,,1.1077,-0.67%,12.177%,,,0.6754,0.04%,9.628%,,,46.05,0.327%,5.618%,,,78.1,0.05%,7.870%
8/25/00,,,1.1082,0.05%,12.222%,,,0.6782,0.41%,10.042%,,,46.05,0.000%,5.618%,,,78.01,-0.12%,7.754%
8/28/00,,,1.1109,0.24%,12.465%,,,0.6795,0.19%,10.234%,,,45.83,-0.478%,5.141%,,,78.01,0.00%,7.754%
8/29/00,,,1.1153,0.40%,12.862%,,,0.6842,0.69%,10.926%,,,46,0.371%,5.512%,,,78.01,0.00%,7.754%
8/30/00,,,1.1206,0.48%,13.337%,,,0.6868,0.38%,11.306%,,,45.9,-0.217%,5.294%,,,77.9,-0.14%,7.613%
8/31/00,,,1.1264,0.52%,13.854%,,,0.6889,0.31%,11.611%,,,45.9,0.000%,5.294%,,,78.1,0.26%,7.870%
9/1/00,,,1.112,-1.28%,12.576%,,,0.6847,-0.61%,11.002%,,,45.8,-0.218%,5.076%,,,78.2,0.13%,7.998%
9/5/00,,,1.1266,1.31%,13.889%,,,0.6886,0.57%,11.571%,,,45.74,-0.131%,4.945%,,,78.2,0.00%,7.998%
9/6/00,,,1.1492,2.01%,15.895%,,,0.6918,0.46%,12.036%,,,45.65,-0.197%,4.749%,,,78.34,0.18%,8.177%
9/7/00,,,1.1442,-0.44%,15.460%,,,0.6954,0.52%,12.556%,,,46.05,0.876%,5.625%,,,78.32,-0.03%,8.152%
9/8/00,,,1.1542,0.87%,16.334%,,,0.7044,1.29%,13.851%,,,45.73,-0.695%,4.930%,,,78.25,-0.09%,8.062%
9/11/00,,,1.1596,0.47%,16.802%,,,0.7081,0.53%,14.376%,,,45.65,-0.175%,4.755%,,,78.38,0.17%,8.228%
9/12/00,,,1.1633,0.32%,17.121%,,,0.7133,0.73%,15.110%,,,45.7,0.110%,4.865%,,,78.38,0.00%,8.228%
9/13/00,,,1.1574,-0.51%,16.614%,,,0.708,-0.74%,14.367%,,,45.7,0.000%,4.865%,,,78.35,-0.04%,8.190%
9/14/00,,,1.1605,0.27%,16.881%,,,0.7112,0.45%,14.819%,,,45.8,0.219%,5.083%,,,78.4,0.06%,8.254%
9/15/00,,,1.1666,0.53%,17.407%,,,0.714,0.39%,15.213%,,,45.85,0.109%,5.193%,,,78.5,0.13%,8.381%
9/18/00,,,1.1733,0.57%,17.981%,,,0.7135,-0.07%,15.143%,,,46.15,0.654%,5.847%,,,78.7,0.25%,8.636%
9/19/00,,,1.1745,0.10%,18.084%,,,0.7102,-0.46%,14.680%,,,46.45,0.650%,6.497%,,,78.75,0.06%,8.700%
9/20/00,,,1.1818,0.62%,18.705%,,,0.7089,-0.18%,14.497%,,,46.3,-0.323%,6.174%,,,78.95,0.25%,8.954%
9/21/00,,,1.1685,-1.13%,17.580%,,,0.7003,-1.21%,13.284%,,,46.09,-0.454%,5.720%,,,79.4,0.57%,9.524%
9/22/00,,,1.1373,-2.67%,14.910%,,,0.6864,-1.98%,11.299%,,,46.18,0.195%,5.916%,,,79.35,-0.06%,9.461%
9/25/00,,,1.1444,0.62%,15.534%,,,0.6878,0.20%,11.503%,,,46.16,-0.043%,5.872%,,,79.25,-0.13%,9.335%
9/26/00,,,1.1344,-0.87%,14.660%,,,0.6849,-0.42%,11.082%,,,46.1,-0.130%,5.742%,,,79.3,0.06%,9.398%
9/27/00,,,1.1357,0.11%,14.775%,,,0.6846,-0.04%,11.038%,,,46.15,0.108%,5.851%,,,79.2,-0.13%,9.272%
9/28/00,,,1.133,-0.24%,14.537%,,,0.6833,-0.19%,10.848%,,,46.05,-0.217%,5.634%,,,79.2,0.00%,9.272%
9/29/00,,,1.1316,-0.12%,14.413%,,,0.6763,-1.02%,9.823%,,,46.06,0.022%,5.656%,,,79.2,0.00%,9.272%
